model_type,config_name,grid_size,spline_order,hidden_dim,total_params,test_mse_mean,test_mse_std,test_r2_mean,test_r2_std,convergence_epoch_mean,convergence_epoch_std,avg_time_per_epoch_mean,total_training_time_mean
kan,G10_K2,10.0,2.0,64,8064,0.25305743047022594,0.004682396896563819,0.8127013047536215,0.0019525286863824015,5.0,1.7320508075688772,3.2772801161336216,112.2619727452596
kan,G10_K3,10.0,3.0,64,8640,0.24317444611940786,0.010104190435195098,0.8198518554369608,0.011725033597135738,5.0,0.0,4.5280768077777465,164.36641788482666
kan,G20_K2,20.0,2.0,64,13824,0.26653925971826736,0.008288090280215488,0.802552858988444,0.011440107906693097,3.0,0.0,3.5909028962523677,101.68320552508037
kan,G20_K3,20.0,3.0,64,14400,0.26273222006440267,0.007126734839779961,0.8054285844167074,0.009161287924942403,3.0,0.0,4.530012792275276,123.82199923197429
kan,G3_K2,3.0,2.0,64,4032,0.26067315605465036,0.006426517350538835,0.8069203893343607,0.009930542042959964,9.333333333333334,0.5773502691896255,1.7557539640395616,137.8497543334961
kan,G3_K3,3.0,3.0,64,4608,0.25791352016981256,0.011561806805673943,0.8089100321133932,0.013379836535896151,8.666666666666666,2.081665999466133,3.6548607479257487,296.9279492696126
kan,G5_K2,5.0,2.0,64,5184,0.25133337939124395,0.005424796904264894,0.8138552705446879,0.008761017470046545,7.0,0.0,3.2633855394540663,196.5083043575287
kan,G5_K3,5.0,3.0,64,5760,0.25548716879014205,0.005446474573708154,0.8107719421386719,0.009138853989003673,7.0,1.0,4.2011771062620324,276.251581509908
mlp,G10_K2_matched,,,84,7981,0.24891656106474272,0.009573049063971105,0.8155838251113892,0.012077247499050554,18.333333333333332,2.5166114784235836,1.0389013992540312,164.6671978632609
mlp,G10_K3_matched,,,88,8713,0.2490422077971117,0.006850344936836819,0.8155245582262675,0.010068646003743787,17.333333333333332,5.033222956847167,1.0136353988242142,148.80414247512817
mlp,G20_K2_matched,,,112,13777,0.24868182858498725,0.013852273304125555,0.8157033324241638,0.015260553961531543,15.666666666666666,5.033222956847166,1.0628986099235955,136.32489442825317
mlp,G20_K3_matched,,,115,14491,0.25020668172405053,0.006089898997412624,0.814673900604248,0.009492377297641713,14.0,2.0,1.0969983980152136,131.46132294336954
mlp,G3_K2_matched,,,58,4003,0.25995458072110766,0.007962904350130135,0.8074478705724081,0.010603703070945453,21.0,1.0,0.5395775805167666,58.1101926167806
mlp,G3_K3_matched,,,63,4663,0.2544931826870776,0.003917203325822574,0.8115947246551514,0.004965802690353512,19.333333333333332,2.886751345948129,1.0151279185237814,140.39834864934286
mlp,G5_K2_matched,,,67,5227,0.24668017915360996,0.008739232969943082,0.8172561526298523,0.011268191961655846,21.0,4.358898943540674,1.1173727981727553,182.5621612071991
mlp,G5_K3_matched,,,71,5823,0.2506547133846595,0.007071658465914876,0.8143509030342102,0.009614390124041729,18.666666666666668,2.081665999466132,1.0055579781576383,159.0949476559957
