mode,hidden_dim,lr,final_val_acc,final_train_loss,status,val_acc_history
B,28,0.002,0.8342000246047974,0.33848775757683647,ok,"[0.5475999712944031, 0.6633999943733215, 0.6898000240325928, 0.7513999938964844, 0.7694000005722046, 0.7856000065803528, 0.7883999943733215, 0.8076000213623047, 0.8098000288009644, 0.8033999800682068, 0.8258000016212463, 0.8086000084877014, 0.8241999745368958, 0.8245999813079834, 0.8342000246047974]"
B,28,0.001,0.8271999955177307,0.3789341940499439,ok,"[0.5902000069618225, 0.6606000065803528, 0.671999990940094, 0.7450000047683716, 0.7555999755859375, 0.7540000081062317, 0.758400022983551, 0.7796000242233276, 0.800599992275238, 0.8011999726295471, 0.798799991607666, 0.7860000133514404, 0.7983999848365784, 0.8083999752998352, 0.8271999955177307]"
B,28,0.0005,0.8095999956130981,0.43044442447841674,ok,"[0.5845999717712402, 0.6241999864578247, 0.673799991607666, 0.7156000137329102, 0.7422000169754028, 0.7387999892234802, 0.7540000081062317, 0.7616000175476074, 0.7839999794960022, 0.7730000019073486, 0.7851999998092651, 0.784600019454956, 0.7645999789237976, 0.7915999889373779, 0.8095999956130981]"
B,28,0.0003,0.7702000141143799,0.4814047517090442,ok,"[0.5627999901771545, 0.6290000081062317, 0.6607999801635742, 0.6732000112533569, 0.7193999886512756, 0.7128000259399414, 0.7427999973297119, 0.7351999878883362, 0.7634000182151794, 0.7229999899864197, 0.7694000005722046, 0.7878000140190125, 0.7559999823570251, 0.746399998664856, 0.7702000141143799]"
B,28,0.0001,0.7537999749183655,0.6498700000791469,ok,"[0.5088000297546387, 0.5928000211715698, 0.6132000088691711, 0.6358000040054321, 0.6525999903678894, 0.6710000038146973, 0.6859999895095825, 0.7034000158309937, 0.7124000191688538, 0.7160000205039978, 0.7318000197410583, 0.7293999791145325, 0.7251999974250793, 0.715399980545044, 0.7537999749183655]"
B,28,5e-05,0.7085999846458435,0.7985412841848498,ok,"[0.45179998874664307, 0.5365999937057495, 0.5835999846458435, 0.6105999946594238, 0.6079999804496765, 0.6330000162124634, 0.6388000249862671, 0.6715999841690063, 0.6743999719619751, 0.6759999990463257, 0.6873999834060669, 0.7009999752044678, 0.7056000232696533, 0.7006000280380249, 0.7085999846458435]"
A,256,0.001,0.7620000243186951,0.4807779297359988,ok,"[0.5795999765396118, 0.6643999814987183, 0.6796000003814697, 0.7268000245094299, 0.7523999810218811, 0.7681999802589417, 0.7692000269889832, 0.7789999842643738, 0.7911999821662903, 0.7620000243186951]"
A,256,0.0005,0.765999972820282,0.5260921387251286,ok,"[0.5784000158309937, 0.6460000276565552, 0.6538000106811523, 0.72079998254776, 0.7275999784469604, 0.7504000067710876, 0.7378000020980835, 0.7929999828338623, 0.7936000227928162, 0.765999972820282]"
A,256,0.0003,0.7333999872207642,0.5720220219205927,ok,"[0.5590000152587891, 0.6227999925613403, 0.6547999978065491, 0.6883999705314636, 0.7364000082015991, 0.7319999933242798, 0.7235999703407288, 0.7599999904632568, 0.7788000106811523, 0.7333999872207642]"
A,256,0.0001,0.7268000245094299,0.7197475892695946,ok,"[0.5382000207901001, 0.6047999858856201, 0.628600001335144, 0.6499999761581421, 0.6674000024795532, 0.6859999895095825, 0.676800012588501, 0.7106000185012817, 0.7336000204086304, 0.7268000245094299]"
